periodo,fecha_mes,concepto,energia_mwh,energia_gwh
201601,2016-01-01,COMPRA DE ENERGIA,0.0,0.0
201601,2016-01-01,CONSUMOS AUX.,828.1924412949775,0.8281924412949775
201601,2016-01-01,CONTRATOS,71818.35213999999,71.81835213999999
201601,2016-01-01,ENERGIA DISPONIBLE,97900.1151911976,97.9001151911976
201601,2016-01-01,PERDIDAS,1464.8405874137097,1.4648405874137098
201601,2016-01-01,PRODUCCION HIDRAULICA,61567.066504126335,61.56706650412634
201601,2016-01-01,PRODUCCION TERMICA,38626.08171577994,38.62608171577994
201601,2016-01-01,VENTA DE ENERGIA,97900.11519119759,97.90011519119759
201601,2016-01-01,VENTA EN COES,26081.7630511976,26.081763051197598
201602,2016-02-01,COMPRA DE ENERGIA,0.0,0.0
201602,2016-02-01,CONSUMOS AUX.,724.6875243155362,0.7246875243155362
201602,2016-02-01,CONTRATOS,69295.22472,69.29522472
201602,2016-02-01,ENERGIA DISPONIBLE,109018.29886262809,109.01829886262809
201602,2016-02-01,PERDIDAS,1505.3920759065659,1.505392075906566
201602,2016-02-01,PRODUCCION HIDRAULICA,66408.16021404759,66.40816021404758
201602,2016-02-01,PRODUCCION TERMICA,44840.218248802616,44.840218248802614
201602,2016-02-01,VENTA DE ENERGIA,109018.29886262809,109.01829886262809
201602,2016-02-01,VENTA EN COES,39723.0741426281,39.7230741426281
201603,2016-03-01,COMPRA DE ENERGIA,0.0,0.0
201603,2016-03-01,CONSUMOS AUX.,479.02384198015045,0.47902384198015047
201603,2016-03-01,CONTRATOS,70163.24368000001,70.16324368000001
201603,2016-03-01,ENERGIA DISPONIBLE,98366.6912039254,98.3666912039254
201603,2016-03-01,PERDIDAS,1484.6567324263597,1.4846567324263598
201603,2016-03-01,PRODUCCION HIDRAULICA,62199.98195433273,62.199981954332735
201603,2016-03-01,PRODUCCION TERMICA,38130.38982399918,38.13038982399918
201603,2016-03-01,VENTA DE ENERGIA,98366.6912039254,98.3666912039254
201603,2016-03-01,VENTA EN COES,28203.4475239254,28.203447523925398
201604,2016-04-01,COMPRA DE ENERGIA,0.0,0.0
201604,2016-04-01,CONSUMOS AUX.,508.5244102019992,0.5085244102019992
201604,2016-04-01,CONTRATOS,67561.81580000001,67.5618158
201604,2016-04-01,ENERGIA DISPONIBLE,102903.62919778822,102.90362919778822
201604,2016-04-01,PERDIDAS,1623.4725428078527,1.6234725428078527
201604,2016-04-01,PRODUCCION HIDRAULICA,59417.91055066532,59.41791055066532
201604,2016-04-01,PRODUCCION TERMICA,45617.715600132746,45.61771560013275
201604,2016-04-01,VENTA DE ENERGIA,102903.6291977882,102.9036291977882
201604,2016-04-01,VENTA EN COES,35341.8133977882,35.3418133977882
201605,2016-05-01,COMPRA DE ENERGIA,0.0,0.0
201605,2016-05-01,CONSUMOS AUX.,710.2633518461746,0.7102633518461746
201605,2016-05-01,CONTRATOS,68340.09007,68.34009007
201605,2016-05-01,ENERGIA DISPONIBLE,111987.23545560091,111.98723545560091
201605,2016-05-01,PERDIDAS,1659.0197152305918,1.6590197152305919
201605,2016-05-01,PRODUCCION HIDRAULICA,61089.623960136436,61.089623960136436
201605,2016-05-01,PRODUCCION TERMICA,53266.894562541245,53.266894562541246
201605,2016-05-01,VENTA DE ENERGIA,111987.23545560091,111.98723545560091
201605,2016-05-01,VENTA EN COES,43647.1453856009,43.6471453856009
201606,2016-06-01,COMPRA DE ENERGIA,0.0,0.0
201606,2016-06-01,CONSUMOS AUX.,793.18930731004,0.79318930731004
201606,2016-06-01,CONTRATOS,65055.877919999984,65.05587791999999
201606,2016-06-01,ENERGIA DISPONIBLE,108588.17088037959,108.5881708803796
201606,2016-06-01,PERDIDAS,1533.838217292243,1.533838217292243
201606,2016-06-01,PRODUCCION HIDRAULICA,59430.5117447059,59.4305117447059
201606,2016-06-01,PRODUCCION TERMICA,51484.68666027597,51.48468666027597
201606,2016-06-01,VENTA DE ENERGIA,108588.17088037958,108.58817088037958
201606,2016-06-01,VENTA EN COES,43532.2929603796,43.5322929603796
201607,2016-07-01,COMPRA DE ENERGIA,0.0,0.0
201607,2016-07-01,CONSUMOS AUX.,808.2600291375198,0.8082600291375198
201607,2016-07-01,CONTRATOS,66227.81972,66.22781972
201607,2016-07-01,ENERGIA DISPONIBLE,112480.45374629031,112.48045374629031
201607,2016-07-01,PERDIDAS,1521.3792230415274,1.5213792230415275
201607,2016-07-01,PRODUCCION HIDRAULICA,61383.13336806186,61.38313336806186
201607,2016-07-01,PRODUCCION TERMICA,53426.95963040748,53.42695963040748
201607,2016-07-01,VENTA DE ENERGIA,112480.4537462903,112.4804537462903
201607,2016-07-01,VENTA EN COES,46252.6340262903,46.2526340262903
201608,2016-08-01,COMPRA DE ENERGIA,0.0,0.0
201608,2016-08-01,CONSUMOS AUX.,958.305765844899,0.958305765844899
201608,2016-08-01,CONTRATOS,67851.60757999998,67.85160757999998
201608,2016-08-01,ENERGIA DISPONIBLE,116858.70760029957,116.85870760029958
201608,2016-08-01,PERDIDAS,1779.6094519563776,1.7796094519563777
201608,2016-08-01,PRODUCCION HIDRAULICA,61280.80728440879,61.28080728440879
201608,2016-08-01,PRODUCCION TERMICA,58315.81553369206,58.31581553369206
201608,2016-08-01,VENTA DE ENERGIA,116858.70760029957,116.85870760029958
201608,2016-08-01,VENTA EN COES,49007.1000202996,49.0071000202996
201609,2016-09-01,COMPRA DE ENERGIA,0.0,0.0
201609,2016-09-01,CONSUMOS AUX.,855.082455631428,0.855082455631428
201609,2016-09-01,CONTRATOS,65982.05503999999,65.98205503999999
201609,2016-09-01,ENERGIA DISPONIBLE,113088.4416266145,113.0884416266145
201609,2016-09-01,PERDIDAS,1604.8303412614623,1.6048303412614624
201609,2016-09-01,PRODUCCION HIDRAULICA,64747.47985734808,64.74747985734808
201609,2016-09-01,PRODUCCION TERMICA,50800.874566159306,50.80087456615931
201609,2016-09-01,VENTA DE ENERGIA,113088.4416266145,113.0884416266145
201609,2016-09-01,VENTA EN COES,47106.3865866145,47.1063865866145
201610,2016-10-01,COMPRA DE ENERGIA,0.0,0.0
201610,2016-10-01,CONSUMOS AUX.,631.1024359095047,0.6311024359095048
201610,2016-10-01,CONTRATOS,66442.52724,66.44252723999999
201610,2016-10-01,ENERGIA DISPONIBLE,118942.73054277008,118.94273054277008
201610,2016-10-01,PERDIDAS,1630.8721632217785,1.6308721632217784
201610,2016-10-01,PRODUCCION HIDRAULICA,66867.79769401693,66.86779769401693
