periodo,fecha_mes,segmento,energia_mwh
202501,2025-01-01 00:00:00,COES,15581.658548040381
202501,2025-01-01 00:00:00,LIBRES,6040.90625
202501,2025-01-01 00:00:00,REGULADOS,48886.061109999995
202501,2025-01-01 00:00:00,TOTAL,61436.03514298569
202502,2025-02-01 00:00:00,COES,15987.19421321596
202502,2025-02-01 00:00:00,LIBRES,8556.068410000003
202502,2025-02-01 00:00:00,REGULADOS,46791.17882
202502,2025-02-01 00:00:00,TOTAL,78116.07811143003
202503,2025-03-01 00:00:00,COES,15856.041957408
202503,2025-03-01 00:00:00,LIBRES,5939.10355
202503,2025-03-01 00:00:00,REGULADOS,51070.50018
202503,2025-03-01 00:00:00,TOTAL,116257.48993299324
202504,2025-04-01 00:00:00,COES,18663.543929614556
202504,2025-04-01 00:00:00,LIBRES,5343.632250000001
202504,2025-04-01 00:00:00,REGULADOS,47908.612740000004
202504,2025-04-01 00:00:00,TOTAL,105392.72070973803
202505,2025-05-01 00:00:00,COES,19265.0047595383
202505,2025-05-01 00:00:00,LIBRES,5776.93862
202505,2025-05-01 00:00:00,REGULADOS,46694.411869999996
202505,2025-05-01 00:00:00,TOTAL,68053.00903804037
202506,2025-06-01 00:00:00,COES,18931.50993372698
202506,2025-06-01 00:00:00,LIBRES,5295.081010000001
202506,2025-06-01 00:00:00,REGULADOS,45704.83315
202506,2025-06-01 00:00:00,TOTAL,66987.10837321596
202507,2025-07-01 00:00:00,COES,17935.785356309876
202507,2025-07-01 00:00:00,LIBRES,5270.72919
202507,2025-07-01 00:00:00,REGULADOS,47220.27530000001
202507,2025-07-01 00:00:00,TOTAL,68347.046447408
202508,2025-08-01 00:00:00,COES,0.0
202508,2025-08-01 00:00:00,LIBRES,5301.953939999999
202508,2025-08-01 00:00:00,REGULADOS,46554.337020000006
202508,2025-08-01 00:00:00,TOTAL,70519.83488961456
202509,2025-09-01 00:00:00,COES,262886.9992850011
202509,2025-09-01 00:00:00,LIBRES,5773.88803
202509,2025-09-01 00:00:00,REGULADOS,46308.82123999999
202509,2025-09-01 00:00:00,TOTAL,71347.7140295383
202510,2025-10-01 00:00:00,COES,18931.50993372698
202510,2025-10-01 00:00:00,LIBRES,5715.499890000001
202510,2025-10-01 00:00:00,REGULADOS,47117.00998
202510,2025-10-01 00:00:00,TOTAL,71764.01980372699
