central_id,central,anio,mes,periodo,energia_mwh
CT1,C.T. Chilina,2010,1,201001,3708.895829908361
CT3,C.T. Mollendo,2010,1,201001,2904.4567571668626
CT2,C.T. Pisco,2010,1,201001,0.0
CH1,Charcani I,2010,1,201001,1172.437919646263
CH2,Charcani II,2010,1,201001,423.6928079156615
CH3,Charcani III,2010,1,201001,3230.9607357388736
CH4,Charcani IV,2010,1,201001,7008.825282408559
CH5,Charcani V,2010,1,201001,37523.75164090918
CH6,Charcani VI,2010,1,201001,4133.176260690301
CT1,C.T. Chilina,2010,2,201002,3662.7029834921677
CT3,C.T. Mollendo,2010,2,201002,4554.212623594284
CT2,C.T. Pisco,2010,2,201002,0.0
CH1,Charcani I,2010,2,201002,1050.892359512329
CH2,Charcani II,2010,2,201002,379.341366411455
CH3,Charcani III,2010,2,201002,2919.191819702148
CH4,Charcani IV,2010,2,201002,6772.553089817291
CH5,Charcani V,2010,2,201002,36702.083843944136
CH6,Charcani VI,2010,2,201002,3945.437613372356
CT1,C.T. Chilina,2010,3,201003,3364.4611551078165
CT3,C.T. Mollendo,2010,3,201003,4613.799209091187
CT2,C.T. Pisco,2010,3,201003,0.0
CH1,Charcani I,2010,3,201003,1275.652746412277
CH2,Charcani II,2010,3,201003,421.6399149799347
CH3,Charcani III,2010,3,201003,3420.4977442932127
CH4,Charcani IV,2010,3,201003,8718.396534945152
CH5,Charcani V,2010,3,201003,47763.48533529985
CH6,Charcani VI,2010,3,201003,5122.8188925337345
CT1,C.T. Chilina,2010,4,201004,5656.687599808468
CT3,C.T. Mollendo,2010,4,201004,4788.008643136024
CT2,C.T. Pisco,2010,4,201004,0.0
CH1,Charcani I,2010,4,201004,1229.9215754120653
CH2,Charcani II,2010,4,201004,413.52641772651674
CH3,Charcani III,2010,4,201004,3305.4993240737913
CH4,Charcani IV,2010,4,201004,8794.873494373474
CH5,Charcani V,2010,4,201004,47833.8362619431
CH6,Charcani VI,2010,4,201004,5238.339017395019
CT1,C.T. Chilina,2010,5,201005,5666.637576771412
CT3,C.T. Mollendo,2010,5,201005,2234.69633018446
CT2,C.T. Pisco,2010,5,201005,0.0
CH1,Charcani I,2010,5,201005,1259.5120763835907
CH2,Charcani II,2010,5,201005,415.92074468524123
CH3,Charcani III,2010,5,201005,3389.5484397315977
CH4,Charcani IV,2010,5,201005,8816.5003472616
CH5,Charcani V,2010,5,201005,47552.78353882194
CH6,Charcani VI,2010,5,201005,5259.415571071625
CT1,C.T. Chilina,2010,6,201006,3009.8043951583804
CT3,C.T. Mollendo,2010,6,201006,899.4835928215981
CT2,C.T. Pisco,2010,6,201006,0.0
CH1,Charcani I,2010,6,201006,1210.5672885513306
CH2,Charcani II,2010,6,201006,406.9554996112883
CH3,Charcani III,2010,6,201006,3250.9304475402832
CH4,Charcani IV,2010,6,201006,7976.415143293887
CH5,Charcani V,2010,6,201006,43273.39199775541
CH6,Charcani VI,2010,6,201006,4699.537668701172
CT1,C.T. Chilina,2010,7,201007,1658.3373077783845
CT3,C.T. Mollendo,2010,7,201007,13332.441973481595
CT2,C.T. Pisco,2010,7,201007,0.0
CH1,Charcani I,2010,7,201007,1262.5636101777554
CH2,Charcani II,2010,7,201007,420.2552706843838
CH3,Charcani III,2010,7,201007,3404.847082901001
CH4,Charcani IV,2010,7,201007,8162.3989692585765
CH5,Charcani V,2010,7,201007,44521.506614241734
CH6,Charcani VI,2010,7,201007,4848.126967529297
CT1,C.T. Chilina,2010,8,201008,2407.775758032171
CT3,C.T. Mollendo,2010,8,201008,9071.224615791243
CT2,C.T. Pisco,2010,8,201008,317.89233790139855
CH1,Charcani I,2010,8,201008,1264.3805268001556
CH2,Charcani II,2010,8,201008,418.63997940921786
CH3,Charcani III,2010,8,201008,3415.2981161499024
CH4,Charcani IV,2010,8,201008,8646.80772328654
CH5,Charcani V,2010,8,201008,48539.2889574759
CH6,Charcani VI,2010,8,201008,5288.149848343611
CT1,C.T. Chilina,2010,9,201009,2321.523896698289
CT3,C.T. Mollendo,2010,9,201009,4098.288715700507
CT2,C.T. Pisco,2010,9,201009,2842.5179097715923
CH1,Charcani I,2010,9,201009,1213.3882571235597
CH2,Charcani II,2010,9,201009,399.79498627471924
CH3,Charcani III,2010,9,201009,3286.9322626419066
CH4,Charcani IV,2010,9,201009,8665.494694966535
CH5,Charcani V,2010,9,201009,47426.20763386457
CH6,Charcani VI,2010,9,201009,5181.749128368395
CT1,C.T. Chilina,2010,10,201010,4067.670292225733
CT3,C.T. Mollendo,2010,10,201010,4331.562387828022
CT2,C.T. Pisco,2010,10,201010,5437.921684008563
CH1,Charcani I,2010,10,201010,1261.2524813089306
CH2,Charcani II,2010,10,201010,416.0864605190456
CH3,Charcani III,2010,10,201010,3396.261199354172
CH4,Charcani IV,2010,10,201010,9478.67315341305
CH5,Charcani V,2010,10,201010,52422.113841796876
CH6,Charcani VI,2010,10,201010,5711.486517719939
CT1,C.T. Chilina,2010,11,201011,4126.759945995121
CT3,C.T. Mollendo,2010,11,201011,5427.010878786921
CT2,C.T. Pisco,2010,11,201011,2834.560544385761
CH1,Charcani I,2010,11,201011,1188.1774732875824
CH2,Charcani II,2010,11,201011,400.2675311992168
CH3,Charcani III,2010,11,201011,3237.99384062767
CH4,Charcani IV,2010,11,201011,9180.815785758972
CH5,Charcani V,2010,11,201011,51126.45005357361
CH6,Charcani VI,2010,11,201011,5518.2244698247905
CT1,C.T. Chilina,2010,12,201012,1875.66157025367
CT3,C.T. Mollendo,2010,12,201012,4158.066952179432
CT2,C.T. Pisco,2010,12,201012,2365.4529200762213
CH1,Charcani I,2010,12,201012,1262.424566210687
CH2,Charcani II,2010,12,201012,416.36668202543257
CH3,Charcani III,2010,12,201012,3413.633210258484
CH4,Charcani IV,2010,12,201012,9655.309151371479
CH5,Charcani V,2010,12,201012,53430.38915255201
CH6,Charcani VI,2010,12,201012,5830.867653442383
CT1,C.T. Chilina,2011,1,201101,227.78874699795247
CT3,C.T. Mollendo,2011,1,201101,1535.990524071574
CT2,C.T. Pisco,2011,1,201101,8685.398433158167
CH1,Charcani I,2011,1,201101,1207.0789922816307
CH2,Charcani II,2011,1,201101,408.2869414499998
CH3,Charcani III,2011,1,201101,3419.4042980499266
CH4,Charcani IV,2011,1,201101,9714.034691018418
CH5,Charcani V,2011,1,201101,53273.10355971241
CH6,Charcani VI,2011,1,201101,5739.989499300182
CT1,C.T. Chilina,2011,2,201102,397.6912267580852
CT3,C.T. Mollendo,2011,2,201102,1222.0145874077082
CT2,C.T. Pisco,2011,2,201102,9124.35738573356
CH1,Charcani I,2011,2,201102,1054.894296883245
CH2,Charcani II,2011,2,201102,333.4420224043966
CH3,Charcani III,2011,2,201102,2805.489281229496
CH4,Charcani IV,2011,2,201102,9284.774156495876
CH5,Charcani V,2011,2,201102,60093.46979149914
CH6,Charcani VI,2011,2,201102,5234.883786066178
CT1,C.T. Chilina,2011,3,201103,907.8197566186996
CT3,C.T. Mollendo,2011,3,201103,1703.0328502503633
CT2,C.T. Pisco,2011,3,201103,8437.013343640503
CH1,Charcani I,2011,3,201103,1258.056147772281
CH2,Charcani II,2011,3,201103,388.3785523135662
CH3,Charcani III,2011,3,201103,3387.2493742675783
CH4,Charcani IV,2011,3,201103,11189.215335845947
CH5,Charcani V,2011,3,201103,83538.20458826565
CH6,Charcani VI,2011,3,201103,6175.937135103822
CT1,C.T. Chilina,2011,4,201104,3092.831339902845
CT3,C.T. Mollendo,2011,4,201104,4699.41064919889
CT2,C.T. Pisco,2011,4,201104,7798.378960457218
CH1,Charcani I,2011,4,201104,1212.4439470221996
CH2,Charcani II,2011,4,201104,372.0884097375624
CH3,Charcani III,2011,4,201104,3279.213490402222
CH4,Charcani IV,2011,4,201104,10582.717214276025
CH5,Charcani V,2011,4,201104,86712.17693347597
CH6,Charcani VI,2011,4,201104,5936.7419677206035
CT1,C.T. Chilina,2011,5,201105,2085.711052262228
CT3,C.T. Mollendo,2011,5,201105,1165.0581132555008
CT2,C.T. Pisco,2011,5,201105,6082.377162877913
CH1,Charcani I,2011,5,201105,1268.7508095932008
CH2,Charcani II,2011,5,201105,386.2679860985577
CH3,Charcani III,2011,5,201105,2590.9708085365296
CH4,Charcani IV,2011,5,201105,10256.305565242354
CH5,Charcani V,2011,5,201105,59285.08187654313
CH6,Charcani VI,2011,5,201105,6095.62865102756
CT1,C.T. Chilina,2011,6,201106,4014.4676780553164
CT3,C.T. Mollendo,2011,6,201106,0.0
CT2,C.T. Pisco,2011,6,201106,24810.059405179243
CH1,Charcani I,2011,6,201106,1232.53545362854
CH2,Charcani II,2011,6,201106,378.7332635731697
CH3,Charcani III,2011,6,201106,1647.3658139953613
CH4,Charcani IV,2011,6,201106,10068.501464260446
CH5,Charcani V,2011,6,201106,55853.03115130754
CH6,Charcani VI,2011,6,201106,5851.280196731567
CT1,C.T. Chilina,2011,7,201107,3198.1514387398984
CT3,C.T. Mollendo,2011,7,201107,0.0
CT2,C.T. Pisco,2011,7,201107,37948.8395941584
CH1,Charcani I,2011,7,201107,1263.2215428733825
CH2,Charcani II,2011,7,201107,410.095577348709
CH3,Charcani III,2011,7,201107,1704.8831944839264
CH4,Charcani IV,2011,7,201107,10302.198939664215
CH5,Charcani V,2011,7,201107,57883.3305575918
CH6,Charcani VI,2011,7,201107,6155.206978357315
CT1,C.T. Chilina,2011,8,201108,1692.6497240151064
CT3,C.T. Mollendo,2011,8,201108,0.0
CT2,C.T. Pisco,2011,8,201108,42469.36075173455
CH1,Charcani I,2011,8,201108,1244.5931648597718
CH2,Charcani II,2011,8,201108,404.64406528902055
CH3,Charcani III,2011,8,201108,1704.3226128540039
CH4,Charcani IV,2011,8,201108,10463.790614013671
CH5,Charcani V,2011,8,201108,57877.872728627386
CH6,Charcani VI,2011,8,201108,6179.436635864257
CT1,C.T. Chilina,2011,9,201109,1254.856283631621
CT3,C.T. Mollendo,2011,9,201109,0.0
CT2,C.T. Pisco,2011,9,201109,44905.25814831085
CH1,Charcani I,2011,9,201109,1180.837271891117
CH2,Charcani II,2011,9,201109,388.1495211977959
CH3,Charcani III,2011,9,201109,1780.533856529236
CH4,Charcani IV,2011,9,201109,9736.670247158603
CH5,Charcani V,2011,9,201109,54819.739561263086
CH6,Charcani VI,2011,9,201109,5763.4624348127845
CT1,C.T. Chilina,2011,10,201110,567.9821542898417
CT3,C.T. Mollendo,2011,10,201110,0.0
CT2,C.T. Pisco,2011,10,201110,39643.92722819656
CH1,Charcani I,2011,10,201110,1250.463297823906
CH2,Charcani II,2011,10,201110,381.6282287471313
CH3,Charcani III,2011,10,201110,3348.3111515045166
CH4,Charcani IV,2011,10,201110,10983.691762916089
CH5,Charcani V,2011,10,201110,62135.81989814734
CH6,Charcani VI,2011,10,201110,6489.8610170593265
CT1,C.T. Chilina,2011,11,201111,186.1500168595314
CT3,C.T. Mollendo,2011,11,201111,0.0
CT2,C.T. Pisco,2011,11,201111,37500.68979736915
CH1,Charcani I,2011,11,201111,1208.4666249590982
CH2,Charcani II,2011,11,201111,363.57094324366375
CH3,Charcani III,2011,11,201111,3149.449362896487
CH4,Charcani IV,2011,11,201111,9833.591336662617
CH5,Charcani V,2011,11,201111,58992.66890459013
CH6,Charcani VI,2011,11,201111,6065.308547748566
CT1,C.T. Chilina,2011,12,201112,1632.42310761501
CT3,C.T. Mollendo,2011,12,201112,0.0
CT2,C.T. Pisco,2011,12,201112,33658.03105455363
CH1,Charcani I,2011,12,201112,1233.7646927837734
CH2,Charcani II,2011,12,201112,415.4170520643145
CH3,Charcani III,2011,12,201112,1815.9001118016274
CH4,Charcani IV,2011,12,201112,10870.902487426833
CH5,Charcani V,2011,12,201112,62293.19438658905
CH6,Charcani VI,2011,12,201112,6322.787766771108
CT1,C.T. Chilina,2012,1,201201,1162.550748319344
CT3,C.T. Mollendo,2012,1,201201,0.0
CT2,C.T. Pisco,2012,1,201201,26519.837210011472
CH1,Charcani I,2012,1,201201,723.9874144841721
CH2,Charcani II,2012,1,201201,385.5546583483261
CH3,Charcani III,2012,1,201201,2085.745660660593
CH4,Charcani IV,2012,1,201201,10736.200967861918
CH5,Charcani V,2012,1,201201,66839.51772583008
CH6,Charcani VI,2012,1,201201,5790.974108253122
CT1,C.T. Chilina,2012,2,201202,2643.1304474136336
CT3,C.T. Mollendo,2012,2,201202,0.0
CT2,C.T. Pisco,2012,2,201202,24322.63074162289
CH1,Charcani I,2012,2,201202,550.5890736982972
CH2,Charcani II,2012,2,201202,241.91733143493533
CH3,Charcani III,2012,2,201202,1254.4672526655197
CH4,Charcani IV,2012,2,201202,9624.283445906385
CH5,Charcani V,2012,2,201202,63078.43249763241
CH6,Charcani VI,2012,2,201202,2591.849800226635
CT1,C.T. Chilina,2012,3,201203,5989.376603032671
CT3,C.T. Mollendo,2012,3,201203,0.0
CT2,C.T. Pisco,2012,3,201203,30238.364123698026
CH1,Charcani I,2012,3,201203,624.1888280080706
CH2,Charcani II,2012,3,201203,270.17114868170023
CH3,Charcani III,2012,3,201203,1505.2111209831237
CH4,Charcani IV,2012,3,201203,10475.1773358811
CH5,Charcani V,2012,3,201203,66778.79435365104
CH6,Charcani VI,2012,3,201203,1385.973312850356
CT1,C.T. Chilina,2012,4,201204,1790.480760814259
CT3,C.T. Mollendo,2012,4,201204,0.0
CT2,C.T. Pisco,2012,4,201204,26973.542507177426
CH1,Charcani I,2012,4,201204,610.4271412582398
CH2,Charcani II,2012,4,201204,271.3572604484558
CH3,Charcani III,2012,4,201204,1636.4305940704346
CH4,Charcani IV,2012,4,201204,10930.533770767212
CH5,Charcani V,2012,4,201204,62837.416838148354
CH6,Charcani VI,2012,4,201204,6311.774577636719
CT1,C.T. Chilina,2012,5,201205,974.9721697125333
CT3,C.T. Mollendo,2012,5,201205,0.0
CT2,C.T. Pisco,2012,5,201205,27099.426822193152
CH1,Charcani I,2012,5,201205,627.856569190979
CH2,Charcani II,2012,5,201205,318.93837810751796
CH3,Charcani III,2012,5,201205,1723.2182216186523
CH4,Charcani IV,2012,5,201205,9551.27650706482
CH5,Charcani V,2012,5,201205,63378.817250263215
CH6,Charcani VI,2012,5,201205,6161.712793270767
CT1,C.T. Chilina,2012,6,201206,713.2529747223854
CT3,C.T. Mollendo,2012,6,201206,0.0
CT2,C.T. Pisco,2012,6,201206,19329.830620353125
CH1,Charcani I,2012,6,201206,607.4927218914032
CH2,Charcani II,2012,6,201206,410.31327431726453
CH3,Charcani III,2012,6,201206,1652.3279102916717
CH4,Charcani IV,2012,6,201206,7598.957457066787
CH5,Charcani V,2012,6,201206,60512.404317016604
CH6,Charcani VI,2012,6,201206,6281.766771270752
CT1,C.T. Chilina,2012,7,201207,2535.7935940674674
CT3,C.T. Mollendo,2012,7,201207,0.0
CT2,C.T. Pisco,2012,7,201207,21911.982701379242
CH1,Charcani I,2012,7,201207,633.6665877304077
CH2,Charcani II,2012,7,201207,424.32234737968446
CH3,Charcani III,2012,7,201207,1681.993853342235
CH4,Charcani IV,2012,7,201207,10158.113968868256
CH5,Charcani V,2012,7,201207,58831.62591299297
CH6,Charcani VI,2012,7,201207,6094.457332435608
CT1,C.T. Chilina,2012,8,201208,908.4806279796809
CT3,C.T. Mollendo,2012,8,201208,0.0
CT2,C.T. Pisco,2012,8,201208,20912.115133114075
CH1,Charcani I,2012,8,201208,633.7279868087769
CH2,Charcani II,2012,8,201208,421.7025923347473
CH3,Charcani III,2012,8,201208,1920.099661989212
CH4,Charcani IV,2012,8,201208,9951.71763925934
CH5,Charcani V,2012,8,201208,55682.39289330876
CH6,Charcani VI,2012,8,201208,5971.3400930714015
CT1,C.T. Chilina,2012,9,201209,855.9518492484577
CT3,C.T. Mollendo,2012,9,201209,71.03213899940252
CT2,C.T. Pisco,2012,9,201209,17276.83490830803
CH1,Charcani I,2012,9,201209,605.1091452679634
CH2,Charcani II,2012,9,201209,412.13161763445646
CH3,Charcani III,2012,9,201209,3275.975934049606
CH4,Charcani IV,2012,9,201209,9234.413920917512
CH5,Charcani V,2012,9,201209,58253.90020332157
CH6,Charcani VI,2012,9,201209,6010.682914550781
CT1,C.T. Chilina,2012,10,201210,223.1474731732104
CT3,C.T. Mollendo,2012,10,201210,8.075
CT2,C.T. Pisco,2012,10,201210,13782.453311137404
CH1,Charcani I,2012,10,201210,607.6118532990797
CH2,Charcani II,2012,10,201210,411.86829569201274
CH3,Charcani III,2012,10,201210,3264.190015896219
CH4,Charcani IV,2012,10,201210,11112.634020950318
CH5,Charcani V,2012,10,201210,67095.69964953842
CH6,Charcani VI,2012,10,201210,6438.838041334897
CT1,C.T. Chilina,2012,11,201211,843.3231039910866
CT3,C.T. Mollendo,2012,11,201211,0.0
CT2,C.T. Pisco,2012,11,201211,19589.8097660563
CH1,Charcani I,2012,11,201211,605.9179913272858
CH2,Charcani II,2012,11,201211,416.6157302832939
CH3,Charcani III,2012,11,201211,3264.6422759053394
CH4,Charcani IV,2012,11,201211,10689.214641098291
CH5,Charcani V,2012,11,201211,65098.149744028095
CH6,Charcani VI,2012,11,201211,6205.380083336472
CT1,C.T. Chilina,2012,12,201212,552.6209024901688
CT3,C.T. Mollendo,2012,12,201212,0.4158309326171875
CT2,C.T. Pisco,2012,12,201212,14841.141294093148
CH1,Charcani I,2012,12,201212,628.6485213470459
CH2,Charcani II,2012,12,201212,428.48333523889556
CH3,Charcani III,2012,12,201212,3395.028728164673
CH4,Charcani IV,2012,12,201212,11337.074440905357
CH5,Charcani V,2012,12,201212,82843.23666377855
CH6,Charcani VI,2012,12,201212,6499.754998874899
CT1,C.T. Chilina,2013,1,201301,2416.057872621402
CT3,C.T. Mollendo,2013,1,201301,0.0
CT2,C.T. Pisco,2013,1,201301,9041.945231582642
CH1,Charcani I,2013,1,201301,631.1492367519849
CH2,Charcani II,2013,1,201301,429.31656674373056
CH3,Charcani III,2013,1,201301,3372.2504556686877
CH4,Charcani IV,2013,1,201301,11219.47469646526
CH5,Charcani V,2013,1,201301,101812.44392208672
CH6,Charcani VI,2013,1,201301,6134.903390173196
CT1,C.T. Chilina,2013,2,201302,2154.87338692239
CT3,C.T. Mollendo,2013,2,201302,0.0
CT2,C.T. Pisco,2013,2,201302,49.175872268676756
CH1,Charcani I,2013,2,201302,590.966964612355
CH2,Charcani II,2013,2,201302,277.36435227775576
CH3,Charcani III,2013,2,201302,3056.484215318082
CH4,Charcani IV,2013,2,201302,10232.57431565056
CH5,Charcani V,2013,2,201302,83310.87543804989
CH6,Charcani VI,2013,2,201302,0.0
CT1,C.T. Chilina,2013,3,201303,1246.7644311748738
CT3,C.T. Mollendo,2013,3,201303,0.0
CT2,C.T. Pisco,2013,3,201303,18765.93306800848
CH1,Charcani I,2013,3,201303,1233.5688150482179
CH2,Charcani II,2013,3,201303,288.85080212551355
CH3,Charcani III,2013,3,201303,3414.5175503497126
CH4,Charcani IV,2013,3,201303,11138.46232516296
CH5,Charcani V,2013,3,201303,98280.92928624916
CH6,Charcani VI,2013,3,201303,0.0
CT1,C.T. Chilina,2013,4,201304,285.9998755626231
CT3,C.T. Mollendo,2013,4,201304,0.0
CT2,C.T. Pisco,2013,4,201304,6801.184804172516
CH1,Charcani I,2013,4,201304,1205.8775521171754
CH2,Charcani II,2013,4,201304,321.3004533336407
CH3,Charcani III,2013,4,201304,3299.900384561539
CH4,Charcani IV,2013,4,201304,10880.011977004324
CH5,Charcani V,2013,4,201304,68949.08522786223
CH6,Charcani VI,2013,4,201304,277.5401676514447
CT1,C.T. Chilina,2013,5,201305,325.2603856661189
CT3,C.T. Mollendo,2013,5,201305,0.0
CT2,C.T. Pisco,2013,5,201305,24751.580225563383
CH1,Charcani I,2013,5,201305,1246.698345727027
CH2,Charcani II,2013,5,201305,425.4683859373927
CH3,Charcani III,2013,5,201305,3419.9589217147827
CH4,Charcani IV,2013,5,201305,9715.89861226362
CH5,Charcani V,2013,5,201305,64684.04647568834
CH6,Charcani VI,2013,5,201305,6292.8889191689495
CT1,C.T. Chilina,2013,6,201306,123.33837149617263
CT3,C.T. Mollendo,2013,6,201306,23.604629522204398
CT2,C.T. Pisco,2013,6,201306,41739.22037962226
CH1,Charcani I,2013,6,201306,1168.3010110034943
CH2,Charcani II,2013,6,201306,413.4342872338444
CH3,Charcani III,2013,6,201306,3305.2509636783598
CH4,Charcani IV,2013,6,201306,7355.40740296936
CH5,Charcani V,2013,6,201306,60348.953807189944
CH6,Charcani VI,2013,6,201306,6237.247820678711
CT1,C.T. Chilina,2013,7,201307,1623.0264195919726
CT3,C.T. Mollendo,2013,7,201307,0.0
CT2,C.T. Pisco,2013,7,201307,47416.43730078568
CH1,Charcani I,2013,7,201307,1248.0139783248883
CH2,Charcani II,2013,7,201307,429.72932094955445
CH3,Charcani III,2013,7,201307,3431.313900665283
CH4,Charcani IV,2013,7,201307,8285.305922498328
CH5,Charcani V,2013,7,201307,62388.34833064199
CH6,Charcani VI,2013,7,201307,6335.95846496582
CT1,C.T. Chilina,2013,8,201308,839.7251443780307
CT3,C.T. Mollendo,2013,8,201308,0.0
CT2,C.T. Pisco,2013,8,201308,46394.2312128098
CH1,Charcani I,2013,8,201308,1217.2505701657533
CH2,Charcani II,2013,8,201308,427.9098565206565
CH3,Charcani III,2013,8,201308,3418.97407160471
CH4,Charcani IV,2013,8,201308,8879.186891051293
CH5,Charcani V,2013,8,201308,62412.513141975876
CH6,Charcani VI,2013,8,201308,6410.784301147461
CT1,C.T. Chilina,2013,9,201309,465.46743006214757
CT3,C.T. Mollendo,2013,9,201309,0.0
CT2,C.T. Pisco,2013,9,201309,45761.36434727825
CH1,Charcani I,2013,9,201309,1185.4747858924866
CH2,Charcani II,2013,9,201309,417.21932557106015
CH3,Charcani III,2013,9,201309,3325.9528513183595
CH4,Charcani IV,2013,9,201309,10090.252881991879
CH5,Charcani V,2013,9,201309,60332.52543296635
CH6,Charcani VI,2013,9,201309,6103.524191317171
CT1,C.T. Chilina,2013,10,201310,0.0
CT3,C.T. Mollendo,2013,10,201310,0.0
CT2,C.T. Pisco,2013,10,201310,37097.56685379051
CH1,Charcani I,2013,10,201310,1237.8033917375574
CH2,Charcani II,2013,10,201310,427.21805486157535
CH3,Charcani III,2013,10,201310,3386.916105690718
CH4,Charcani IV,2013,10,201310,9943.93164821317
CH5,Charcani V,2013,10,201310,62332.13399850642
CH6,Charcani VI,2013,10,201310,6266.862001708984
CT1,C.T. Chilina,2013,11,201311,128.49245799999997
CT3,C.T. Mollendo,2013,11,201311,153.958886
CT2,C.T. Pisco,2013,11,201311,23174.75280199996
CH1,Charcani I,2013,11,201311,1177.3940130000008
CH2,Charcani II,2013,11,201311,404.14847700000007
CH3,Charcani III,2013,11,201311,3281.842360000001
CH4,Charcani IV,2013,11,201311,9799.75763800001
CH5,Charcani V,2013,11,201311,60323.09057400001
CH6,Charcani VI,2013,11,201311,5965.009373
CT1,C.T. Chilina,2013,12,201312,2007.9113281607338
CT3,C.T. Mollendo,2013,12,201312,534.5105652093491
CT2,C.T. Pisco,2013,12,201312,27672.192169736583
