anio,mes,cliente_o_concepto,soles
2025,1,A1,0.0
2025,1,A13,2841.31
2025,1,A15,7473.24
2025,1,A9,71935.10205500778
2025,1,A9-EGASA,2583.197944992216
2025,1,AD9GEN,125500.17000000001
2025,1,AP,22125.9
2025,1,Aportes,127687.22999999998
2025,1,Area de Demanda (L-1126),251000.34000000003
2025,1,BILATERALES,13082468.183781814
2025,1,COES,8536378.892553309
2025,1,CRCM,323.56
2025,1,Coelvisac 1,0.0
2025,1,Coelvisac 2,515618.45744
2025,1,EAFP,8926240.648318749
2025,1,EAHP,2815135.8274725005
2025,1,ERC,21288.460000000003
2025,1,ERCML,2529.5499999999997
2025,1,ERI,3474.69
2025,1,ERIML,8796.49
2025,1,ERSA,43510.729999999996
2025,1,El Doral,92743.79728
2025,1,Electro Sur Este,448193.3599999999
2025,1,Electropuno,337995.56000000006
2025,1,Electropuno1,4173234.0400000005
2025,1,Electrosur,466950.23505190696
2025,1,Enel Distribución,5877073.4
2025,1,Enel Distribución1,8909227.32
2025,1,Enel Distribución2,91980.52054249991
2025,1,FISE,43156.49
2025,1,FOSE,41020.01
2025,1,IT,0.0
2025,1,Iberica,125443.59536
2025,1,IncaTops,660208.5399999999
2025,1,Incalpaca,218288.13696000003
2025,1,Inflexibilidad Operativa,0.0
2025,1,LIBRES,2870534.670223513
2025,1,LICITADOS,20912251.84282877
2025,1,Luz del Sur,13216320.48
2025,1,MDCS,2677944.7296800003
2025,1,Michell,941150.4934400001
2025,1,Minera Cerro Verde,0.0
2025,1,OTROS,292008.4923108798
2025,1,Otros (Potencia Firme),41008.0
2025,1,Oxyman,45.16
2025,1,PCSPT,3884050.6099999994
2025,1,PFIRME,20504.0
2025,1,Pampabaja,236853.67584
2025,1,RESPALDO,607599.294904732
2025,1,REVISION,0.0
2025,1,SCIO,0.0
2025,1,SST,3316.347525953495
2025,1,San Pablo,48496.06
2025,1,Seal,565707.8999999999
2025,1,Tisur,547303.7140800001
2025,1,Tranferencia de Energia Activa,5977656.8599999985
2025,1,Transferencia de Potencia,2558717.5799999996
2025,1,VAD,158670.33
2025,1,VTEA,2988828.4299999992
2025,1,VTP,1279358.7899999998
2025,2,A1,0.0
2025,2,A13,2709.33
2025,2,A15,7295.150000000001
2025,2,A9,67064.81464660093
2025,2,A9-EGASA,2408.3053533990656
2025,2,AD9GEN,113680.42000000003
2025,2,AP,25434.93
2025,2,Aportes,114418.92000000001
2025,2,Area de Demanda (L-1126),227360.84000000005
2025,2,BILATERALES,12830398.975112697
2025,2,COES,1521912.198903463
2025,2,CRCM,322.55
2025,2,Coelvisac 1,0.0
2025,2,Coelvisac 2,624579.0921
2025,2,EAFP,8753544.28363
2025,2,EAHP,2768950.400459999
2025,2,ERC,16401.32
2025,2,ERCML,2693.88
2025,2,ERI,3536.49
2025,2,ERIML,6053.210000000001
