periodo,anio,mes,cliente,precio_medio_soles_mwh
202412,2024,12,AGRÍCOLA PAMPA BAJA S.A.C.,336.87910241079015
202412,2024,12,CLIENTE LIBRE,329.473084757483
202412,2024,12,CONSORCIO ELECTRICO DE VILLACURI SAC,197.6765998783527
202412,2024,12,CR_ LICITACIONES,383.44677695870894
202412,2024,12,CR_BILATERALES,278.494763389265
202412,2024,12,ELECTRO PUNO S.A.A.,287.2397634011048
202412,2024,12,ELECTRO SUR ESTE S.A.A.,422.8407186303902
202412,2024,12,ELECTROSUR S.A.,412.73989307016484
202412,2024,12,EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,
202412,2024,12,FABRICA DE CHOCOLATES LA IBERICA S.A.,387.12122204578253
202412,2024,12,IINCA TOPS S.A.,
202412,2024,12,INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,424.68803414269223
202412,2024,12,LUZ DEL SUR S.A.A.,371.6551743064344
202412,2024,12,MERCADO SPOT,156.7913017395166
202412,2024,12,MICHELL Y CIA S.A.,357.32270565441945
202412,2024,12,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,320.82325481903695
202412,2024,12,OXYMAN COMERCIAL S.A.C.,
202412,2024,12,PLUZ ENERGÍA PERÚ S.A.A.,401.3724037105949
202412,2024,12,SOCIEDAD ELECTRICA DEL SUR OESTE S A,425.6033203778109
202412,2024,12,TERMINAL INTERNACIONAL DEL SUR S.A.,265.0178893041392
202412,2024,12,UNIVERSIDAD CATOLICA SAN PABLO,436.53125512298243
202501,2025,1,AGRÍCOLA PAMPA BAJA S.A.C.,281.5991165117909
202501,2025,1,CLIENTE LIBRE,352.95573198107854
202501,2025,1,CONSORCIO ELECTRICO DE VILLACURI SAC,191.04263724134407
202501,2025,1,CR_ LICITACIONES,384.52096926160596
202501,2025,1,CR_BILATERALES,301.5299017598596
202501,2025,1,ELECTRO PUNO S.A.A.,298.19878907126116
202501,2025,1,ELECTRO SUR ESTE S.A.A.,422.20748566687024
202501,2025,1,ELECTROSUR S.A.,408.57572948156997
202501,2025,1,EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,
202501,2025,1,FABRICA DE CHOCOLATES LA IBERICA S.A.,305.5474995585229
202501,2025,1,IINCA TOPS S.A.,379.54675988364744
202501,2025,1,INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,395.2786800226816
202501,2025,1,LUZ DEL SUR S.A.A.,373.8407926751484
202501,2025,1,MERCADO SPOT,655.7294166081324
202501,2025,1,MICHELL Y CIA S.A.,377.4782229251456
202501,2025,1,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,311.3074817947628
202501,2025,1,OXYMAN COMERCIAL S.A.C.,
202501,2025,1,PLUZ ENERGÍA PERÚ S.A.A.,330.64082930893437
202501,2025,1,SOCIEDAD ELECTRICA DEL SUR OESTE S A,422.70127764440446
202501,2025,1,TERMINAL INTERNACIONAL DEL SUR S.A.,325.2753247527874
202501,2025,1,UNIVERSIDAD CATOLICA SAN PABLO,419.07700167437025
202502,2025,2,AGRÍCOLA PAMPA BAJA S.A.C.,405.08800375967206
202502,2025,2,CLIENTE LIBRE,374.25324168170545
202502,2025,2,CONSORCIO ELECTRICO DE VILLACURI SAC,222.7878048407953
202502,2025,2,CR_ LICITACIONES,394.51752326252483
202502,2025,2,CR_BILATERALES,309.09112235792054
202502,2025,2,ELECTRO PUNO S.A.A.,300.2223410146919
202502,2025,2,ELECTRO SUR ESTE S.A.A.,443.84411495911604
202502,2025,2,ELECTROSUR S.A.,424.24753406583795
202502,2025,2,EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,
202502,2025,2,FABRICA DE CHOCOLATES LA IBERICA S.A.,353.8058674646331
202502,2025,2,IINCA TOPS S.A.,388.3048420182957
202502,2025,2,INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,378.24910580774366
202502,2025,2,LUZ DEL SUR S.A.A.,382.51835351112175
202502,2025,2,MERCADO SPOT,33.42093864909972
202502,2025,2,MICHELL Y CIA S.A.,392.6055859545049
202502,2025,2,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,323.36456322508076
202502,2025,2,OXYMAN COMERCIAL S.A.C.,
202502,2025,2,PLUZ ENERGÍA PERÚ S.A.A.,331.57478462824827
202502,2025,2,SOCIEDAD ELECTRICA DEL SUR OESTE S A,439.67234849549095
202502,2025,2,TERMINAL INTERNACIONAL DEL SUR S.A.,336.4152212361283
202502,2025,2,UNIVERSIDAD CATOLICA SAN PABLO,447.4082089147508
202503,2025,3,AGRÍCOLA PAMPA BAJA S.A.C.,308.83899277577643
202503,2025,3,CLIENTE LIBRE,345.87416379057913
202503,2025,3,CONSORCIO ELECTRICO DE VILLACURI SAC,219.6525247116169
202503,2025,3,CR_ LICITACIONES,382.03123191111507
202503,2025,3,CR_BILATERALES,298.0432185845465
202503,2025,3,ELECTRO PUNO S.A.A.,291.4308053304159
202503,2025,3,ELECTRO SUR ESTE S.A.A.,427.3088092860938
202503,2025,3,ELECTROSUR S.A.,411.6221190619634
202503,2025,3,EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,
202503,2025,3,FABRICA DE CHOCOLATES LA IBERICA S.A.,288.8262632086361
202503,2025,3,IINCA TOPS S.A.,354.66120960079417
202503,2025,3,INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,370.3976205903031
202503,2025,3,LUZ DEL SUR S.A.A.,370.43079562423645
202503,2025,3,MERCADO SPOT,96.07347881572912
