cliente,periodo,anio,mes,mwh
AGRÍCOLA PAMPA BAJA S.A.C.,202412,2024,12,523.7834799999999
CLIENTE LIBRE,202412,2024,12,3105.62054
CONSORCIO ELECTRICO DE VILLACURI SAC,202412,2024,12,1164.61292
CR_ LICITACIONES,202412,2024,12,29551.066370000004
CR_BILATERALES,202412,2024,12,7665.82949
ELECTRO PUNO S.A.A.,202412,2024,12,8065.29379
ELECTRO SUR ESTE S.A.A.,202412,2024,12,601.67564
ELECTROSUR S.A.,202412,2024,12,581.0558400000001
FABRICA DE CHOCOLATES LA IBERICA S.A.,202412,2024,12,175.41404999999997
IINCA TOPS S.A.,202412,2024,12,0.0
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202412,2024,12,114.98566000000001
LUZ DEL SUR S.A.A.,202412,2024,12,19753.456100000003
MERCADO SPOT,202412,2024,12,20994.738381507035
MICHELL Y CIA S.A.,202412,2024,12,1145.6493400000002
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202412,2024,12,139.92059
OXYMAN COMERCIAL S.A.C.,202412,2024,12,0.0
PLUZ ENERGÍA PERÚ S.A.A.,202412,2024,12,7541.53455
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202412,2024,12,673.8799399999999
TERMINAL INTERNACIONAL DEL SUR S.A.,202412,2024,12,952.37075
UNIVERSIDAD CATOLICA SAN PABLO,202412,2024,12,53.49667
AGRÍCOLA PAMPA BAJA S.A.C.,202501,2025,1,420.55117000000007
CLIENTE LIBRE,202501,2025,1,4066.42096
CONSORCIO ELECTRICO DE VILLACURI SAC,202501,2025,1,1349.48529
CR_ LICITACIONES,202501,2025,1,27192.58845
CR_BILATERALES,202501,2025,1,21693.47266
ELECTRO PUNO S.A.A.,202501,2025,1,7564.13132
ELECTRO SUR ESTE S.A.A.,202501,2025,1,530.77382
ELECTROSUR S.A.,202501,2025,1,571.4365799999999
FABRICA DE CHOCOLATES LA IBERICA S.A.,202501,2025,1,205.27675
IINCA TOPS S.A.,202501,2025,1,869.73281
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202501,2025,1,276.11929
LUZ DEL SUR S.A.A.,202501,2025,1,17676.40228
MERCADO SPOT,202501,2025,1,6509.067782985694
MICHELL Y CIA S.A.,202501,2025,1,1246.6288599999998
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202501,2025,1,148.95851000000002
OXYMAN COMERCIAL S.A.C.,202501,2025,1,0.0
PLUZ ENERGÍA PERÚ S.A.A.,202501,2025,1,22499.15909
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202501,2025,1,669.15802
TERMINAL INTERNACIONAL DEL SUR S.A.,202501,2025,1,841.29301
UNIVERSIDAD CATOLICA SAN PABLO,202501,2025,1,57.86056
AGRÍCOLA PAMPA BAJA S.A.C.,202502,2025,2,251.5113
CLIENTE LIBRE,202502,2025,2,3794.33304
