cliente,periodo,anio,mes,soles
AGRÍCOLA PAMPA BAJA S.A.C.,202412,2024,12,176451.70860000004
CLIENTE LIBRE,202412,2024,12,1023218.3794
CONSORCIO ELECTRICO DE VILLACURI SAC,202412,2024,12,230216.7222
CR_ LICITACIONES,202412,2024,12,11331261.155269396
CR_BILATERALES,202412,2024,12,2134893.37
ELECTRO PUNO S.A.A.,202412,2024,12,2316673.08
ELECTRO SUR ESTE S.A.A.,202412,2024,12,254412.95999999996
ELECTROSUR S.A.,202412,2024,12,239824.92526939485
EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,202412,2024,12,0.0
FABRICA DE CHOCOLATES LA IBERICA S.A.,202412,2024,12,67906.5014
IINCA TOPS S.A.,202412,2024,12,0.0
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202412,2024,12,48833.0339
LUZ DEL SUR S.A.A.,202412,2024,12,7341474.170000001
MERCADO SPOT,202412,2024,12,3291792.36051708
MICHELL Y CIA S.A.,202412,2024,12,409366.5219
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202412,2024,12,44889.77909999999
OXYMAN COMERCIAL S.A.C.,202412,2024,12,22.58
PLUZ ENERGÍA PERÚ S.A.A.,202412,2024,12,3026963.8499999996
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202412,2024,12,286805.54
TERMINAL INTERNACIONAL DEL SUR S.A.,202412,2024,12,252395.28600000002
UNIVERSIDAD CATOLICA SAN PABLO,202412,2024,12,23352.968500000003
AGRÍCOLA PAMPA BAJA S.A.C.,202501,2025,1,118426.83792
CLIENTE LIBRE,202501,2025,1,1435266.58648
CONSORCIO ELECTRICO DE VILLACURI SAC,202501,2025,1,257809.22872
CR_ LICITACIONES,202501,2025,1,10456120.467525952
CR_BILATERALES,202501,2025,1,6541230.680000001
ELECTRO PUNO S.A.A.,202501,2025,1,2255614.8000000003
ELECTRO SUR ESTE S.A.A.,202501,2025,1,224096.67999999996
ELECTROSUR S.A.,202501,2025,1,233475.11752595348
EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,202501,2025,1,20504.0
FABRICA DE CHOCOLATES LA IBERICA S.A.,202501,2025,1,62721.79768
IINCA TOPS S.A.,202501,2025,1,330104.26999999996
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202501,2025,1,109144.06848000002
LUZ DEL SUR S.A.A.,202501,2025,1,6608160.24
MERCADO SPOT,202501,2025,1,4268187.219999999
MICHELL Y CIA S.A.,202501,2025,1,470575.24672000005
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202501,2025,1,46371.89864
OXYMAN COMERCIAL S.A.C.,202501,2025,1,22.58
PLUZ ENERGÍA PERÚ S.A.A.,202501,2025,1,7439140.62027125
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202501,2025,1,282853.94999999995
TERMINAL INTERNACIONAL DEL SUR S.A.,202501,2025,1,273651.85704000003
UNIVERSIDAD CATOLICA SAN PABLO,202501,2025,1,24248.03
AGRÍCOLA PAMPA BAJA S.A.C.,202502,2025,2,101884.21044000001
CLIENTE LIBRE,202502,2025,2,1420041.4402400001
CONSORCIO ELECTRICO DE VILLACURI SAC,202502,2025,2,312289.54605
CR_ LICITACIONES,202502,2025,2,10271716.178451737
CR_BILATERALES,202502,2025,2,6415196.12
ELECTRO PUNO S.A.A.,202502,2025,2,2123559.04
ELECTRO SUR ESTE S.A.A.,202502,2025,2,224189.95
ELECTROSUR S.A.,202502,2025,2,228117.1184517384
EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,202502,2025,2,0.0
FABRICA DE CHOCOLATES LA IBERICA S.A.,202502,2025,2,60628.97305
IINCA TOPS S.A.,202502,2025,2,317039.2
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202502,2025,2,106334.30777000001
LUZ DEL SUR S.A.A.,202502,2025,2,6502008.79
MERCADO SPOT,202502,2025,2,760955.7
MICHELL Y CIA S.A.,202502,2025,2,461061.31277
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202502,2025,2,45930.21428
OXYMAN COMERCIAL S.A.C.,202502,2025,2,22.52
PLUZ ENERGÍA PERÚ S.A.A.,202502,2025,2,8098715.600000001
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202502,2025,2,269157.94999999995
TERMINAL INTERNACIONAL DEL SUR S.A.,202502,2025,2,306846.72193
UNIVERSIDAD CATOLICA SAN PABLO,202502,2025,2,20293.98
AGRÍCOLA PAMPA BAJA S.A.C.,202503,2025,3,113349.89256000001
CLIENTE LIBRE,202503,2025,3,1488007.3483199999
CONSORCIO ELECTRICO DE VILLACURI SAC,202503,2025,3,359557.92253
CR_ LICITACIONES,202503,2025,3,10903040.948561898
CR_BILATERALES,202503,2025,3,6715164.53
ELECTRO PUNO S.A.A.,202503,2025,3,2218609.3600000003
ELECTRO SUR ESTE S.A.A.,202503,2025,3,251864.28999999998
ELECTROSUR S.A.,202503,2025,3,237750.54856189952
EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,202503,2025,3,0.0
FABRICA DE CHOCOLATES LA IBERICA S.A.,202503,2025,3,56798.43272
IINCA TOPS S.A.,202503,2025,3,310846.7999999999
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202503,2025,3,120907.2285
LUZ DEL SUR S.A.A.,202503,2025,3,6897327.84
MERCADO SPOT,202503,2025,3,5692150.54
MICHELL Y CIA S.A.,202503,2025,3,491040.73566999997
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202503,2025,3,47396.65366
OXYMAN COMERCIAL S.A.C.,202503,2025,3,22.509999999999998
PLUZ ENERGÍA PERÚ S.A.A.,202503,2025,3,7719425.49
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202503,2025,3,293227.95000000007
TERMINAL INTERNACIONAL DEL SUR S.A.,202503,2025,3,316234.38521
